"grid_id","area_total","area_land","percent_land"
"CRS3035RES50000mN1950000E2650000",2500.01900051575,2303.58950725282,92.1428799852159
"CRS3035RES50000mN1950000E2700000",2500.01900863911,2493.76606818041,99.7498842833959
"CRS3035RES50000mN1950000E2750000",2500.01901653095,2500.01901653095,100
"CRS3035RES50000mN1950000E2800000",2500.0190241892,2500.0190241892,100
"CRS3035RES50000mN1950000E2850000",2500.01903161246,2500.01903161246,100
"CRS3035RES50000mN1950000E2900000",2500.01903879887,2500.01903879887,100
"CRS3035RES50000mN1950000E2950000",2500.01904574681,2500.01904574681,100
"CRS3035RES50000mN1950000E3000000",2500.01905245461,2500.01905245461,100
"CRS3035RES50000mN1950000E3050000",2500.01905892077,2500.01905892077,100
"CRS3035RES50000mN1950000E3100000",2500.0190651439,2500.0190651439,100
"CRS3035RES50000mN1950000E3150000",2500.01907112277,2500.01907112277,100
"CRS3035RES50000mN1950000E3200000",2500.01907685545,2500.01907685545,100
"CRS3035RES50000mN1950000E3250000",2500.01908234132,2500.01908234132,100
"CRS3035RES50000mN1950000E3300000",2500.01908757897,2500.01908757897,100
"CRS3035RES50000mN1950000E3350000",2500.01909256712,2500.01909256712,100
"CRS3035RES50000mN1950000E3400000",2500.01909730478,2500.01909730478,100
"CRS3035RES50000mN1950000E3450000",2500.01910179104,2392.6444626865,95.7050472523343
"CRS3035RES50000mN1950000E3500000",2500.01910602483,544.297028222921,21.7717147405478
"CRS3035RES50000mN1950000E4150000",2500.01913775409,871.936460507152,34.8771914318408
"CRS3035RES50000mN1950000E4200000",2500.01913838387,1948.79372228745,77.951152147869
"CRS3035RES50000mN1950000E4250000",2500.01913875332,2027.45694141622,81.0976568134293
"CRS3035RES50000mN1950000E4600000",2500.01913405581,12.092495005522,0.483696098193625
"CRS3035RES50000mN1950000E4650000",2500.01913234567,1001.66328964282,40.0662249613663
"CRS3035RES50000mN1950000E4700000",2500.01913037682,2075.74548033439,83.0291838615458
"CRS3035RES50000mN1950000E4750000",2500.01912814924,2500.01912814924,100
"CRS3035RES50000mN1950000E4800000",2500.01912566384,2500.01912566384,100
"CRS3035RES50000mN1950000E4850000",2500.0191229207,2500.0191229207,100
"CRS3035RES50000mN1950000E4900000",2500.01911992062,2155.30297774146,86.2114597671512
"CRS3035RES50000mN1950000E4950000",2500.01911666421,2210.43713784437,88.4168094199923
"CRS3035RES50000mN1950000E5000000",2500.01911315237,643.358321270253,25.7341361066244
"CRS3035RES50000mN2000000E2650000",2500.01900473315,1239.67838444208,49.5867584244385
